Subject Area,Count
Materials Science (all),113
Mechanical Engineering,89
Condensed Matter Physics,86
Computer Networks and Communications,83
Mechanics of Materials,82
Biochemistry,81
Chemistry (all),71
Electrical and Electronic Engineering,68
Computer Science Applications,65
Materials Chemistry,61
Infectious Diseases,59
Artificial Intelligence,58
Chemical Engineering (all),56
Organic Chemistry,51
Software,51
Analytical Chemistry,50
Pharmacology,49
Computer Vision and Pattern Recognition,48
Renewable Energy,48
Sustainability and the Environment,48
Polymers and Plastics,46
Environmental Chemistry,44
Molecular Biology,41
Energy Engineering and Power Technology,39
Immunology,38
Microbiology,36
Environmental Engineering,36
Industrial and Manufacturing Engineering,35
Optical and Magnetic Materials,34
Electronic,34
Physical and Theoretical Chemistry,33
Biotechnology,33
Safety,33
Risk,33
Reliability and Quality,33
Pollution,31
Immunology and Allergy,30
Civil and Structural Engineering,30
Coatings and Films,29
Surfaces,29
Waste Management and Disposal,29
Dentistry (all),28
Molecular Medicine,28
Environmental and Occupational Health,27
Veterinary (all),27
Public Health,27
Fuel Technology,26
Drug Discovery,25
Pharmaceutical Science,25
Neurology,25
Hardware and Architecture,25
Genetics,24
Human-Computer Interaction,23
Microbiology (medical),23
Process Chemistry and Technology,23
Catalysis,22
Physiology,22
Oncology,22
Psychiatry and Mental Health,21
Signal Processing,21
Instrumentation,20
Animal Science and Zoology,20
Information Systems and Management,20
Cancer Research,20
Metals and Alloys,20
Neurology (clinical),20
Control and Optimization,20
Pharmacology (medical),20
Cellular and Molecular Neuroscience,19
Otorhinolaryngology,19
Surfaces and Interfaces,19
Control and Systems Engineering,19
Computer Science (all),19
Biophysics,18
Applied Microbiology and Biotechnology,18
Spectroscopy,18
Environmental Science (all),18
Medicine (all),18
Cell Biology,17
Bioengineering,17
Endocrinology,17
Nuclear Medicine and Imaging,17
Radiology,17
Health,16
Gastroenterology,16
Food Science,16
Information Systems,16
Parasitology,16
Biological Psychiatry,16
Toxicology and Mutagenesis,16
Physics and Astronomy (all),16
Evolution,15
Engineering (all),15
Ecology,15
Genetics and Molecular Biology (all),15
Behavior and Systematics,15
Surgery,14
Pediatrics,14
Perinatology and Child Health,14
Dermatology,13
Biomaterials,13
Biomedical Engineering,13
Virology,13
Inorganic Chemistry,12
Chemical Engineering (miscellaneous),12
Nephrology,12
Complementary and Alternative Medicine,12
Energy (all),12
Neuroscience (all),12
Plant Science,12
Aquatic Science,11
Geotechnical Engineering and Engineering Geology,11
Strategy and Management,11
Toxicology,11
Pulmonary and Respiratory Medicine,11
Pathology and Forensic Medicine,11
Developmental Biology,10
Water Science and Technology,10
and Optics,10
Applied Mathematics,10
Urology,10
Orthopedics and Sports Medicine,10
Medicine (miscellaneous),10
Atomic and Molecular Physics,10
Clinical Biochemistry,10
Colloid and Surface Chemistry,10
Food Animals,9
Diabetes and Metabolism,9
Ophthalmology,9
Hematology,9
Sports Therapy and Rehabilitation,9
Physical Therapy,9
Structural Biology,9
Computational Mechanics,9
Ceramics and Composites,9
Management Science and Operations Research,8
Cardiology and Cardiovascular Medicine,8
Nursing (all),8
Physiology (medical),8
Hepatology,8
Health Policy,8
Building and Construction,8
Health (social science),8
Critical Care and Intensive Care Medicine,8
Education,8
Immunology and Microbiology (all),7
Biochemistry (medical),7
Insect Science,7
Filtration and Separation,7
Geriatrics and Gerontology,7
Nuclear Energy and Engineering,7
Modeling and Simulation,6
Statistics and Probability,6
Computer Graphics and Computer-Aided Design,6
Automotive Engineering,6
