Title,Authors,Publication Date,Keywords,Abstract,Classification,Subject Areas
"Peroxiredoxin-4 supplementation modulates the immune response, shapes the intestinal microbiome, and enhances AHPND resistance in Penaeus vannamei","Wanvimonsuk S., Somboonwiwat K.",2023-08-01,"Animals, Dietary Supplements, Gastrointestinal Microbiome, Immunity, Innate, Penaeidae, Peroxiredoxins, RNA, Ribosomal, 16S, Vibrio parahaemolyticus, Acute hepatopancreatic necrosis disease (AHPND)-causing Vibrio parahaemolyticus, Intestinal microbiome, Peroxiredoxin-4, Shrimp","Peroxiredoxin-4 from Penaeus vannamei (LvPrx4) is considered a damage-associated molecular pattern (DAMP) that can activate the expression of immune-related genes through the Toll pathway. We previously demonstrated that the recombinant LvPrx4 (rLvPrx4) can enhance shrimp resistance against Vibrio parahaemolyticus, causing acute hepatopancreatic necrosis disease (VPAHPND), which causes great production losses in shrimp farming. Herein, we showed that the rLvPrx4 had a thermal tolerance of around 60 °C and that the ionic strength had no noticeable effect on its activity. We discovered that feeding a diet containing rLvPrx4 to shrimp for three weeks increased the expression of the immune-related genes LvPEN4 and LvVago5. Furthermore, pre-treatment with rLvPrx4 feeding could significantly prolong shrimp survival following the VPAHPND challenge. The shrimp intestinal microbiome was then characterized using PCR amplification of the 16S rRNA gene and Illumina sequencing. Three weeks of rLvPrx4 supplementation altered the bacterial community structure (beta diversity) and revealed the induction of differentially abundant families, including Cryomorphaceae, Flavobacteriaceae, Pirellulaceae, Rhodobacteraceae, and Verrucomicrobiaceae, in the rLvPrx4 group. Metagenomic predictions indicated that some amino acid metabolism pathways, such as arginine and proline metabolism, and genetic information processing were significantly elevated in the rLvPrx4 group compared to the control group. This study is the first to describe the potential use of rLvPrx4 supplementation to enhance shrimp resistance to VPAHPND and alter the composition of a beneficial bacterial community in shrimp, making rLvPrx4 a promising feed supplement as an alternative to antibiotics for controlling VPAHPND infection in shrimp aquaculture.","Immunology, environmental, Agricultural and Biological Sciences","Immunology, Environmental Chemistry, Aquatic Science, Immunology and Microbiology (miscellaneous)"
Silicalite-1 zeolites for toluene sorption: Effects of the particle size and intracrystalline mesopores,"Chen D., Jiang Z., Jia Y., Wang X., Deng W., Chaianansutcharit S., Zhou A., Guo L.",2023-06-01,"Adsorption capacities, Breakthrough time, Diffusion limitations, Diffusion rate, Intracrystalline mesopore, Mesopore, Particles sizes, Silicalite-1, Sorption effects, Sorption properties, Intracrystalline mesopore, Particle size, Silicalite-1, Sorption properties, Toluene","The diffusion limitation of conventional silicalite-1 zeolites was addressed by particle size modulation and intracrystalline mesopore introduction, and the two effects on toluene sorption over silicalite-1 zeolites were systematically investigated. The diffusion rate of toluene increases as the particle size of silicalite-1 zeolites decreases, while the introduction of mesopores into zeolite crystals can further increase the diffusion rate. However, higher diffusion rates of toluene do not always result in better adsorption capacity. The breakthrough time of silicalite-1 zeolites with different particle sizes shows a “volcano” shape. And the breakthrough time decreases after the introduction of intracrystalline mesopores into silicalite-1 zeolites. For toluene adsorption capacity, the microporous structure plays the main role, the mesoporous structure mainly diminishes diffusion limitation and improves the utilization of micropores. The nanosized zeolites with dispersed intracrystalline mesopores exhibit the best dynamic adsorption capacity with the lowest diffusion limitation. The short microporous diffusion path and abundant micropore structure are the vital parameters for silicalite-1 zeolite adsorbents with high performance.","mixing and separation, chemistry, Materials Science, physics, engineering","Chemistry (all), Materials Science (all), Condensed Matter Physics, Mechanics of Materials"
Investigating the synergistic effect of graphene nanoplatelets and fly ash on the mechanical properties and microstructure of calcium aluminate cement composites,"Win T.T., Prasittisopin L., Jongvivatsakul P., Likitlersuang S.",2023-11-01,"Calcium-aluminate cement, Cement composite, Dispersants, Graphene nanoplatelets, Mechanical performance, Properties and microstructures, Reinforcing effects, Reinforcing materials, Synergistic effect, Ultra-sonication, Calcium aluminate cement, Fly ash, Graphene nanoplatelets, Mechanical properties, Microstructure","Nanomaterials like graphene nanoplatelets (GNP) have been extensively applied in various fields as reinforcing materials offering excellent mechanical properties. However, for calcium aluminate cement (CAC) composites, the investigation of the GNP reinforcing effect is lacking. The synergistic effects of GNP and fly ash (FA) in CAC composites were evaluated in this study. The GNP was initially dispersed in mixing water using a dispersant combined with ultrasonication. The CAC composites with different GNP contents were prepared and their mechanical performance was investigated. In addition, partial replacement of CAC with FA was investigated for increasing sustainability and material cost of GNP-CAC composites. Their fresh properties, mechanical properties, and microstructural performance were analyzed using different techniques involving flowability, bulk density, volume of permeable void, water absorption, compressive strength, splitting tensile strength, flexural strength, nitrogen adsorption, TGA, and SEM-EDS tests. Using FA and GNP in CAC composites offers a positive impact by significantly increasing their strengths. Optimized mix was achieved by replacing 20% of FA and adding 0.3% of GNP in CAC composites. Results revealed that the 20% FA replacement of cement with 0.3% GNP addition remarkably increased the compressive, splitting tensile and flexural strengths at 28 days by about 57.2%, 35.5%, and 21.7%, respectively. The results suggest that using FA and GNP contributes to synergistic effects to promote the formation of silica tetrahedron in calcium aluminate silicate hydrate (CASH) gel, to refine pore characteristics, and to reduce conversion effects of metastable phases of CAC such that it can ultimately produce a green rapid-set high-performance concrete system.","mixing and separation, engineering","Civil and Structural Engineering, Architecture, Building and Construction, Safety, Risk, Reliability and Quality, Mechanics of Materials"
"Three-Year Safety, Tolerability, and Health-Related Quality of Life Outcomes of Adjuvant Osimertinib in Patients With Resected Stage IB to IIIA EGFR-Mutated NSCLC: Updated Analysis From the Phase 3 ADAURA Trial","John T., Grohe C., Goldman J.W., Shepherd F.A., de Marinis F., Kato T., Wang Q., Su W.-C., Choi J.H., Sriuranpong V., Melotti B., Fidler M.J., Chen J., Albayaty M., Stachowiak M., Taggart S., Wu Y.-L., Tsuboi M., Herbst R.S., Majem M.",2023-09-01,"Aniline Compounds, Carcinoma, Non-Small-Cell Lung, ErbB Receptors, Humans, Lung Neoplasms, Mutation, Protein Kinase Inhibitors, Quality of Life, Adjuvant, EGFR, Non–small cell lung cancer, Osimertinib, Safety","Introduction: In ADAURA, adjuvant osimertinib significantly improved disease-free survival versus placebo in resected stage IB to IIIA EGFR-mutated NSCLC. We report in-depth analyses of three-year safety, tolerability, and health-related quality of life (HRQoL) from ADAURA. Methods: Patients were randomized 1:1 to osimertinib 80 mg or placebo once daily for up to 3 years. Safety assessments were performed at baseline, week 2, week 4, week 12, and every 12 weeks until treatment completion or discontinuation, and 28 days after treatment was stopped. The SF-36 survey measured HRQoL at baseline, week 12, week 24, and every 24 weeks until recurrence, treatment completion or discontinuation. Data cutoff: April 11, 2022. Results: Safety and HRQoL analysis sets: osimertinib, n = 337 and n = 339; placebo, n = 343 each. Median (range) total exposure duration was longer with osimertinib versus placebo: 35.8 (0–38) versus 25.1 (0–39) months. Most adverse events (AEs) were first reported within 12 months of starting treatment (osimertinib 97%, placebo 86%). AEs leading to dose reduction, interruption or discontinuation were reported in 12%, 27% and 13% respectively of patients with osimertinib; 1%, 13% and 3% with placebo. Stomatitis and diarrhea were the most common AEs leading to osimertinib dose reduction or interruption; interstitial lung disease was the most common leading to osimertinib discontinuation (per protocol). There were no differences in time to deterioration for SF-36 physical, mental component summaries between osimertinib and placebo. Conclusions: No new safety signals were reported and HRQoL was maintained with 3 years of adjuvant osimertinib treatment. Combined with significant efficacy benefit, these data further support adjuvant osimertinib in stage IB to IIIA EGFR-mutated NSCLC.",medical,"Oncology, Pulmonary and Respiratory Medicine"
Improved olefin selectivity during CO hydrogenation on hydrophilic Fe/HAP catalysts,"Guo X., Liu B., Gao X., He F., Ma Q., Fan S., Zhao T.-S., Tian J., Reubroycharoen P., Zhang J.",2023-02-15,"CO hydrogenation, Hydrophilic modification, Hydrophilic/hydrophobic, Hydrophilics, Hydrophobic properties, Iron supported catalysts, Light-olefins, Product distributions, Secondary reactions, ]+ catalyst, CO hydrogenation, Hydroxyapatite, Iron-supported catalyst, Secondary reaction","The hydrophilic/hydrophobic properties of catalysts greatly influence product distribution by tuning the secondary reactions during Fischer–Tropsch synthesis. Studies have confirmed that hydrophilic modification can inhibit secondary reactions. Herein, hydroxyapatite (HAP)-supported Fe catalysts (Fe/HAP) were prepared using an impregnation method. The effect of the catalyst surface properties on the product distribution in CO hydrogenation was studied. The surface hydroxyl groups on Fe/HAP promoted the growth of carbon chains and improved olefin selectivity. The addition of Na as a promoter to Fe/HAP suppressed the formation of undesirable CH4, further improving the selectivity for light olefins and C5+ hydrocarbons. Compared with Fe2O3, Fe/HAP showed lower CH4 selectivity (15%) and higher C5+ selectivity (45%). Meanwhile, the Fe/HAP -Na catalysts with a higher selectivity of light olefins (with an O/P ratio reaching 4.51).","fluidex; related topics, coastal engineering, chemistry","Catalysis, Chemistry (all)"
Microbiological Processes of Submicrometer Plastics Affecting Submerged Plant Growth in a Chronic Exposure Microcosm,"Lin L., Xu E.G., Liu M., Yang Y., Zhou A., Suyamud B., Pan X., Yuan W.",2023-01-10,"Community assembly, Freshwater environments, Microbiological process, Microplastic contamination, Microplastics, Rhizosphere microbial communities, Rhizosphere microorganisms, Submicrometers, Vallisneria, Vallisnerium denseserrulata, community assembly, freshwater environment, Microplastic contamination, rhizosphere microorganism, Vallisneria denseserrulata","Laboratory microcosms were designed to investigate the chronic influence of sedimental submicrometer plastics (sMPs) on the growth of an aquatic submerged plant, Vallisneria denseserrulata, and the involved microbiological processes. A dose-response experiment (0-1000 μg/g) showed that the growth of V. denseserrulata was not affected by 8-week exposure to sedimental sMPs (100 and 1000 nm) until the dose reached 1000 μg/g (i.e., 0.1% w/w) in wet sediment. The observed-effect dosage of 0.1% w/w sMPs significantly suppressed the plant height and biomass of V. denseserrulata by 19.19-22.26% and 10.81-15.80%, respectively. Changes in rhizosphere microbial community structure were detected under the observed-effect dosage, with relatively higher community diversity and weaker conflicting interaction. Sedimental sMPs decreased the stochasticity ratio of rhizosphere microbial community assembly by 11.0-27.7% compared with the control group. Furthermore, functional analysis showed that the ecological processes related to the carbon and nitrogen cycle were suppressed at the observed-effect dosage, among which phototrophy, nitrogen fixation, and nitrate reduction were significantly decreased by 68.30%, 23.56%, and 17.59%, respectively. Our results revealed the responses of an aquatic plant to sedimental sMPs exposures, and the adverse impacts of sMPs were associated with the ecological assembly processes of the rhizosphere microbial community.","fluidex; related topics, environmental","Environmental Chemistry, Ecology, Water Science and Technology, Waste Management and Disposal, Pollution, Health, Toxicology and Mutagenesis"
Predicting Cost and Schedule Performance of Green Building Projects Based on Preproject Planning Efforts Using Multiple Linear Regression Analysis,"Khun-Anod K., Limsawasd C., Athigakunagorn N.",2023-09-01,"Cost and schedule, Cost performance, Green building projects, Green buildings, Multiple linear regression, Multiple linear regressions, Planning elements, Pre-project planning, Project definition rating index, Schedule performance, Cost performance, Green building projects, Multiple linear regression (MLR), Preproject planning, Project definition rating index (PDRI), Schedule performance","Although the building industry has attempted to adopt the green construction paradigm worldwide, evidence shows that it has not been fully implemented. Consequently, an efficient preplanning tool is pressingly needed to motivate project teams to adopt the green construction concept to increase project success. Other research has focused on essential planning elements that enable projects to achieve green building certification. However, only a few attempts have emphasized cost and schedule performance. This paper developed an efficient-yet-simple predictive model for predicting the project performance (cost and time) of green building construction projects, associated with the effectiveness of preproject planning at the initial stage represented in terms of the Project Definition Rating Index (PDRI). The analysis was conducted in three steps: (1) identifying significant planning elements affecting cost and schedule performance using an independent t-test, (2) constructing predictive models by applying multiple linear regression, and (3) validating the constructed models using a paired sample t-test. Sample data from 17 certified green buildings were utilized. The results identified 10 planning elements that differed significantly between under- and overbudget projects, related to the project requirements, procurement strategy, schedule control, project design, and safety considerations. Similarly, six elements were identified for schedule performance that were classified under the business strategy, economic analysis, and values analysis. Then, predictive models were proposed with coefficients of determination of 0.94 for cost performance and 0.60 for schedule performance. The developed models not only contributed to the preliminary assessment of the possible cost and schedule performance for the current level of a project team's preplanning efforts but also could be further adapted for exploratory evaluation of expected outcomes due to a certain level of improvement in preproject planning.","fluidex; related topics, engineering, arts","Architecture, Civil and Structural Engineering, Building and Construction, Visual Arts and Performing Arts"
Process simulation of cassava cellulosic ethanol production with low to medium-pressure steam heat integration,"Kamsuwan C., Tanprasert S., Nimmanterdwong P., Piemjaiswang R., Saencharee K., Pumchumpol T., Chalermsinsuwan B.",2023-09-01,"Casavum cellulosic, Energy demands, Ethanol production, Global population, Heat integration, Low to medium-pressure steam, Medium pressure, Process simulations, Production process, Rapid growth, Casava cellulosic, Ethanol, Heat integration, Low to medium-pressure steam, Process simulation","Energy demand tends to increase by 80% in 2050 due to the rapid growth of the global population. However, the energy resources rapidly decrease for responding to the global need. Many previous researchers suggest the ideas for solving this situation and the most interesting solution is the heat integration which intends to produce cost-effective energy with minimal impact on the environment. Energy integration thus should be noticeable for the industry process to minimize the loss along the industrial process. The ethanol production process is interested in this study because it can add value to agricultural products like cassava which is an industrial crop in several countries and produces ethanol products that can decrease the usage of gasoline. Here, the heat integration model was developed for the ethanol production process by using low to medium-pressure steam. For the simulation model, the ethanol production process used the cellulose content as the main inlet component to be easy for applicable corresponding to feed casava cellulosic substances. The process contained three sections including enzymatic hydrolysis, simultaneous saccharification fermentation (SSF), and fractional distillation. The quality and quantity of low to medium-pressure steam were investigated for maintaining the operation of the enzymatic hydrolysis reactor by varying steam pressure between 1–2 atm and steam temperature between 100–105 °C. The results achieved the methodology to find optimum conditions by the ratio between steam flow rate and product quantity. The best case could reduce 6.49% of the excessive usage of low to medium-pressure steam which pointed out the way to use the energy efficiently.","mixing and separation, energy",Energy (all)
Antimicrobial peptides recognition using weighted physicochemical property encoding,"Na S., Wannigama D.L., Saethang T.",2023-04-01,"Anti-Bacterial Agents, Anti-Infective Agents, Antifungal Agents, Antimicrobial Cationic Peptides, Antimicrobial Peptides, Antimicrobial peptides, artificial neural networks, machine learning","Antimicrobial resistance is a major public health concern. Antimicrobial peptides (AMPs) are one of the host defense mechanisms responding efficiently against multidrug-resistant microbes. Since the process of screening AMPs from a large number of peptides is still high-priced and time-consuming, the development of a precise and rapid computer-aided tool is essential for preliminary AMPs selection ahead of laboratory experiments. In this study, we proposed AMPs recognition models using a new peptide encoding method called amino acid index weight (AAIW). Four AMPs recognition models including antimicrobial, antibacterial, antiviral, and antifungal were trained based on datasets combined from the DRAMP and other published databases. These models achieved high performance compared to the preceding AMPs recognition models when evaluated on two independent test sets. All four models yielded over 93% in accuracy and 0.87 in Matthew's correlation coefficient (MCC). An online AMPs recognition server is accessible at https://amppred-aaiw.com.","biochemistryistry, computer science","Biochemistry, Molecular Biology, Computer Science Applications"
The Screening of Homo- and Hetero-Dual Atoms Anchored Graphdiyne for Boosting Electrochemical CO2 Reduction,"Jitwatanasirikul T., Roongcharoen T., Sikam P., Takahashi K., Rungrotmongkol T., Namuangruk S.",2023-02-14,"CH 4, CO 2 reduction, CO 2 reduction reaction, Density-functional-theory, Double atoms, Double-atom catalyst, Electrochemicals, Graphdiyne, Reduction reaction, ]+ catalyst, CO 2 reduction reaction, density functional theory, double-atom catalyst, graphdiyne","Developing electrocatalysts with high catalytic performance and selectivity is crucial for electrochemical CO2 reduction reaction (CRR). There are many catalyst studies of transition metal (TM) atom doping to sp2 carbon material, such as graphene or carbon nanotubes. On the other hand, graphdiyne (GDY) has both sp and sp2 hybridization and stable pores, so we can tune its interaction with TM. Following the successful experimental synthesis of Ni atom doping to GDY monolayer, the CRR activity of double–atom catalysts was evaluated, including homo and hetero metal-Ni doped on the GDY monolayer (MNi@GDY where M is Ti, V, Cr, Mn, Fe, Co, Ni, and Cu) using the density functional theory calculations. The valence-electron number of the catalytic center shows a strong positive correlation to the limiting potentials in the volcano plot. NiNi@GDY is the most promising candidate for converting CO2 to produce CH4 with a remarkable low limiting potential of −0.28 V, which is better than Ni@GDY and Ni3@GDY counterparts. NiNi@GDY shows excellent thermal stability and ability to suppress the competing hydrogen evolution reaction, showing its high selectivity to CH4.","fluidex; related topics, engineering","Mechanics of Materials, Mechanical Engineering"
