Title,Source,Link,Authors,Abstract,Publication Date,Keywords,Subject Area
Study of the chemical content of organic extracts of the Syrian plant Artemisia herba-alba using GC-MS technology,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210102211,Khdera H.A.,,2025-12-01,,materials science
Promoter recognition specificity of Corynebacterium glutamicum stress response sigma factors σ<sup>D</sup> and σ<sup>H</sup> deciphered using computer modeling and point mutagenesis,Journal of Computer-Aided Molecular Design,https://api.elsevier.com/content/abstract/scopus_id/85210099230,Blumenstein J.,,2025-12-01,,materials science
The quantum chemical study of the reaction between chlorocarbonylsulfenyl chloride and benzamide,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210098094,Jalil Z.,,2025-12-01,,materials science
Numerical analysis of bioconvective heat transport through Casson nanofluid over a thin needle,Journal of Biological Physics,https://api.elsevier.com/content/abstract/scopus_id/85210095821,Jena S.,,2025-12-01,,materials science
The synthesis of pyrazole derivatives from hydrazone using Amberlyst A26 resin under ultrasonic radiation,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210091771,Vane V.,,2025-12-01,,materials science
Integrated computer aided methods to designing potent α-Glucosidase inhibitors based on quinoline scaffold derivatives,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210088632,Khaldan A.,,2025-12-01,,materials science
Advanced quantum and docking studies on the [3+2] cycloaddition of nitrile oxide with 1-Methyl-4-(Prop-1-en-2-yl)Cyclohex-1-ene: Exploring mechanisms and ADME properties,Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210086953,Ryachi K.,,2025-12-01,,materials science
Clinical practice guidelines for antimicrobial-loaded cements and beads in orthopedic trauma and arthroplasty,European Journal of Orthopaedic Surgery and Traumatology,https://api.elsevier.com/content/abstract/scopus_id/85210086477,Epperson A.B.,,2025-12-01,,materials science
"Synthesis, characterization, and biological profiling of novel benzotriazole-thio linked derivatives as promising anti-inflammatory, analgesic, and antibacterial agents",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210084132,Kshatriya M.R.,,2025-12-01,,materials science
Second-order nonlocal shifts of scattered wave-packets: What can be measured by Goos–Hänchen and Imbert–Fedorov effects?,Reviews in Physics,https://api.elsevier.com/content/abstract/scopus_id/85210083000,Morawetz K.,,2025-12-01,,materials science
Enhancing Surface Properties of Circular Carbon Biochar Derived from Spent Coffee Beans Through ZnCl<inf>2</inf>/KOH Activation,Bioenergy Research,https://api.elsevier.com/content/abstract/scopus_id/85210082609,D G.,,2025-12-01,,materials science
"Regioselectivity study of 1,3-dipolar cycloaddition of 2-azido-N-(4-diazenylphenyl)acetamide with terminal alkyne through DFT analysis",Current Chemistry Letters,https://api.elsevier.com/content/abstract/scopus_id/85210081337,Zaki K.,,2025-12-01,,materials science
"Fungus-Yeast Tri-culture System for In Situ Cellulase Production, Biodetoxification, and Bioethanol Production Using Rice Straw with Cyclic Shifting of Temperature Strategy",Bioenergy Research,https://api.elsevier.com/content/abstract/scopus_id/85210077059,Panda S.K.,,2025-12-01,,materials science
On Trina’s Saving and McTeague’s Eating: The Lamarckian Geographies of Regional Writing,American Literary Realism,https://api.elsevier.com/content/abstract/scopus_id/85210039077,Wardley L.,,2025-12-01,,materials science
Rectal Prolapse in the Pediatric Population,Current Gastroenterology Reports,https://api.elsevier.com/content/abstract/scopus_id/85210000399,Moon J.K.,,2025-12-01,,materials science
Intra-articular injections of ozone versus hyaluronic acid for knee osteoarthritis: a level I meta-analysis,European Journal of Orthopaedic Surgery and Traumatology,https://api.elsevier.com/content/abstract/scopus_id/85209993411,Migliorini F.,,2025-12-01,,materials science
"Relationship between immune cell traits, circulating inflammatory cytokines, and the risk of incisional hernia after gastric surgery",Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209821587,Shi H.,,2025-12-01,,materials science
Education and Team Science in Neurocritical Care,Current Treatment Options in Neurology,https://api.elsevier.com/content/abstract/scopus_id/85209796215,Harrison D.S.,,2025-12-01,,materials science
Association between condylar surface computed tomography values in the coronal plane and temporomandibular joint disc position in jaw deformity patients: a retrospective study,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85209785230,Ueki K.,,2025-12-01,,materials science
Nanograting-Based Dynamic Structural Colors Using Heterogeneous Materials,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209776714,Wang J.,,2025-12-01,,materials science
Unpacking the drivers of the socio-environmental sustainability of new ventures: insights from innovative digital start-ups in Italy,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209775477,Mazzoni L.,,2025-12-01,,materials science
Development of hepatocellular carcinoma organoid model recapitulating HIF-1A metabolic signature,Clinical and Experimental Medicine,https://api.elsevier.com/content/abstract/scopus_id/85209762000,Khedr M.A.,,2025-12-01,,materials science
Exploring the Potential of Syngas Fermentation for Recovery of High-Value Resources: A Comprehensive Review,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85209754513,Neto A.S.,,2025-12-01,,materials science
Bioinspired Ultrasensitive Flexible Strain Sensors for Real-Time Wireless Detection of Liquid Leakage,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209736908,Zhou W.,,2025-12-01,,materials science
Wafer-Scale Ag<inf>2</inf>S-Based Memristive Crossbar Arrays with Ultra-Low Switching-Energies Reaching Biological Synapses,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209734599,Zhu Y.,,2025-12-01,,materials science
Direct Photolithography of WO<inf>x</inf> Nanoparticles for High-Resolution Non-Emissive Displays,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209729690,Gu C.,,2025-12-01,,materials science
Organoid models of breast cancer in precision medicine and translational research,Molecular Biology Reports,https://api.elsevier.com/content/abstract/scopus_id/85209710942,Niazi V.,,2025-12-01,,materials science
Application and evaluation of carbonate apatite granules for mandibular bone defect reconstruction after jawbone cyst enucleation–a retrospective case series,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85209706218,Fukuda N.,,2025-12-01,,materials science
Representation formula for complex stress functions around a kinked or branched fault with the Schwarz–Christoffel transformation,GEM - International Journal on Geomathematics,https://api.elsevier.com/content/abstract/scopus_id/85209697292,Imai R.,,2025-12-01,,materials science
Industry 4.0 technologies and international performance of SMEs: mediated-moderated perspectives,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209664656,Rehman S.U.,,2025-12-01,,materials science
Exploration of Gas-Dependent Self-Adaptive Reconstruction Behavior of Cu<inf>2</inf>O for Electrochemical CO<inf>2</inf> Conversion to Multi-Carbon Products,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209585704,Zhang C.,,2025-12-01,,materials science
"Use of prophylactic mesh to prevent parastomal hernia formation: a systematic review, meta-analysis and network meta-analysis",Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209575773,Hinojosa-Gonzalez D.E.,,2025-12-01,,materials science
MXene Hybridized Polymer with Enhanced Electromagnetic Energy Harvest for Sensitized Microwave Actuation and Self-Powered Motion Sensing,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209553128,Wang Y.Z.,,2025-12-01,,materials science
Low-Temperature Fabrication of Stable Black-Phase CsPbI<inf>3</inf> Perovskite Flexible Photodetectors Toward Wearable Health Monitoring,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209545234,Zhao Y.,,2025-12-01,,materials science
Flexible Strain Sensors with Ultra-High Sensitivity and Wide Range Enabled by Crack-Modulated Electrical Pathways,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209539663,Bai Y.,,2025-12-01,,materials science
"Expression of Salivary miRNAs, Clinical, and Demographic Features in the Early Detection of Gastric Cancer: A Statistical and Machine Learning Analysis",Journal of Gastrointestinal Cancer,https://api.elsevier.com/content/abstract/scopus_id/85209484066,Koopaie M.,,2025-12-01,,materials science
Prophylactic mesh versus primary closure in emergency and elective surgeries: a systematic review and meta-analysis of randomized clinical trials,Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209399667,Valério-Alves A.P.,,2025-12-01,,materials science
Overseas benchmarking for startup ecosystems in Central and Southern Italy,International Entrepreneurship and Management Journal,https://api.elsevier.com/content/abstract/scopus_id/85209398107,Greco F.,,2025-12-01,,materials science
Apraxia: From Neuroanatomical Pathways to Clinical Manifestations,Current Neurology and Neuroscience Reports,https://api.elsevier.com/content/abstract/scopus_id/85209396228,Stoll S.,,2025-12-01,,materials science
Recent progress in hematoporphyrin monomethyl ether-photodynamic therapy for port-wine stains: updates and insights,Archives of Dermatological Research,https://api.elsevier.com/content/abstract/scopus_id/85209394133,Khalaf A.T.,,2025-12-01,,materials science
"The development, implementation, and evaluation of a pre-rotation quiz to improve resident preparedness for an abdominal wall reconstruction surgical rotation",Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209393315,Maskal S.M.,,2025-12-01,,materials science
The Development of Epilepsy Following CNS Viral Infections: Mechanisms,Current Neurology and Neuroscience Reports,https://api.elsevier.com/content/abstract/scopus_id/85209380823,Savoca G.,,2025-12-01,,materials science
Introducing a novel TRAPPC10 gene variant as a potential cause of developmental delay and intellectual disability in an Iranian family,Neurogenetics,https://api.elsevier.com/content/abstract/scopus_id/85209380244,Nozari A.,,2025-12-01,,materials science
Exploring low-cost mesh alternatives for groin hernia repair: a systematic review and meta-analysis of randomized controlled trials,Hernia,https://api.elsevier.com/content/abstract/scopus_id/85209182994,da Silveira C.A.B.,,2025-12-01,,materials science
"Recent Advances in Artificial Sensory Neurons: Biological Fundamentals, Devices, Applications, and Challenges",Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209180506,Zhong S.,,2025-12-01,,materials science
Ideal Bi-Based Hybrid Anode Material for Ultrafast Charging of Sodium-Ion Batteries at Extremely Low Temperatures,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209172437,Bai J.,,2025-12-01,,materials science
Electrode/Electrolyte Optimization-Induced Double-Layered Architecture for High-Performance Aqueous Zinc-(Dual) Halogen Batteries,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209153788,Zhou C.,,2025-12-01,,materials science
"Effects of Creatine Monohydrate Supplementation on Muscle, Bone and Brain- Hope or Hype for Older Adults?",Current Osteoporosis Reports,https://api.elsevier.com/content/abstract/scopus_id/85209122414,Candow D.G.,,2025-12-01,,materials science
“Surviving the dip” after subacromial balloon spacer implantation for massive rotator cuff tear treatment: a retrospective case series,European Journal of Orthopaedic Surgery and Traumatology,https://api.elsevier.com/content/abstract/scopus_id/85209110036,Sirignano M.,,2025-12-01,,materials science
A prospective split-mouth clinical study: comparison of the effect of lornoxicam and etodolac on postoperative sequels following lower third molar surgery,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85209101085,Karabiyik Z.,,2025-12-01,,materials science
An Artificial Intelligence-Assisted Flexible and Wearable Mechanoluminescent Strain Sensor System,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85209099436,Dong Y.,,2025-12-01,,materials science
Wafer-Scale Vertical 1D GaN Nanorods/2D MoS<inf>2</inf>/PEDOT:PSS for Piezophototronic Effect-Enhanced Self-Powered Flexible Photodetectors,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208692975,Tang X.,,2025-12-01,,materials science
Smart Gas Sensors: Recent Developments and Future Prospective,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208631944,Zong B.,,2025-12-01,,materials science
Defect Engineering with Rational Dopants Modulation for High-Temperature Energy Harvesting in Lead-Free Piezoceramics,Nano-Micro Letters,https://api.elsevier.com/content/abstract/scopus_id/85208620627,Xi K.,,2025-12-01,,materials science
Allergic clinical symptoms and distribution of stimulation index of drug lymphocyte stimulation test for local anesthetics,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85208603498,Baba Y.,,2025-12-01,,materials science
Formation of bone tissue apatite on starch-based nanofiber-capped nanohydroxyapatite and reduced graphene oxide: a preliminary study,Oral and Maxillofacial Surgery,https://api.elsevier.com/content/abstract/scopus_id/85208602968,Senthil R.,,2025-12-01,,materials science
Digital rock physics: Calculation of effective elastic properties of heterogeneous materials using graphical processing units (GPUs),Computers and Geosciences,https://api.elsevier.com/content/abstract/scopus_id/85208599372,Alkhimenkov Y.,,2025-12-01,,materials science
Copper Oxide Nanoparticles as an Emergent Threat to Aquatic Invertebrates and Photosynthetic Organisms: A Synthesis of the Known and Exploration of the Unknown,Current Pollution Reports,https://api.elsevier.com/content/abstract/scopus_id/85208583345,Ghosh S.,,2025-12-01,,materials science
