Subject Area,Count
Computer Science Applications,132
Electrical and Electronic Engineering,125
Organic Chemistry,121
Materials Science (all),120
Renewable Energy,112
Sustainability and the Environment,112
Chemistry (all),107
Biochemistry,100
Infectious Diseases,97
Environmental and Occupational Health,92
Public Health,92
Artificial Intelligence,90
Computer Networks and Communications,90
Energy Engineering and Power Technology,88
Polymers and Plastics,84
Physical and Theoretical Chemistry,81
Analytical Chemistry,80
Chemical Engineering (all),78
Condensed Matter Physics,78
Pollution,75
Materials Chemistry,75
Fuel Technology,69
Molecular Biology,68
Environmental Chemistry,66
Immunology,65
Environmental Engineering,62
Food Science,62
Mechanics of Materials,59
Information Systems,56
Molecular Medicine,56
Computer Vision and Pattern Recognition,53
Mechanical Engineering,52
Pharmacology,52
Catalysis,52
Pharmaceutical Science,52
Software,50
Toxicology and Mutagenesis,50
Health,50
Waste Management and Disposal,48
Immunology and Allergy,46
Drug Discovery,46
Spectroscopy,45
Inorganic Chemistry,44
Engineering (all),44
Computer Science (all),44
Instrumentation,43
Veterinary (all),42
Information Systems and Management,42
Surgery,41
Biotechnology,41
Medicine (all),40
Industrial and Manufacturing Engineering,35
Oncology,35
Biomedical Engineering,35
Neurology (clinical),35
Bioengineering,35
Control and Optimization,34
Immunology and Microbiology (all),34
Electronic,33
Optical and Magnetic Materials,33
Pediatrics,33
Dentistry (all),32
Engineering (miscellaneous),32
Civil and Structural Engineering,32
Process Chemistry and Technology,31
Aquatic Science,31
Building and Construction,31
Perinatology and Child Health,31
Hardware and Architecture,31
Otorhinolaryngology,30
Microbiology (medical),30
Cancer Research,30
Risk,29
Reliability and Quality,29
Safety,29
Microbiology,29
Endocrinology,29
Signal Processing,29
Nuclear Medicine and Imaging,28
Radiology,28
Ecology,27
Genetics and Molecular Biology (all),26
Chemistry (miscellaneous),25
Nephrology,25
Nutrition and Dietetics,24
Dermatology,23
Coatings and Films,23
Surfaces,23
Chemical Engineering (miscellaneous),23
Hematology,23
Human-Computer Interaction,23
Physics and Astronomy (all),23
Animal Science and Zoology,22
Cardiology and Cardiovascular Medicine,22
Energy (all),21
and Optics,21
Atomic and Molecular Physics,21
Oral Surgery,20
Behavior and Systematics,20
Evolution,20
Education,19
Environmental Science (all),19
Biomaterials,18
Parasitology,18
Psychiatry and Mental Health,18
Complementary and Alternative Medicine,18
Pharmacology (medical),18
Metals and Alloys,17
Neurology,17
Genetics,17
Modeling and Simulation,17
Epidemiology,17
Diabetes and Metabolism,16
Control and Systems Engineering,15
Virology,15
Applied Microbiology and Biotechnology,15
Geotechnical Engineering and Engineering Geology,15
Strategy and Management,15
Obstetrics and Gynecology,14
Energy (miscellaneous),14
Electrochemistry,14
Gastroenterology,14
Cell Biology,14
Applied Mathematics,14
Orthopedics and Sports Medicine,14
Biophysics,13
Ceramics and Composites,13
Filtration and Separation,13
Clinical Biochemistry,13
Water Science and Technology,12
Physiology (medical),12
Immunology and Microbiology (miscellaneous),11
Veterinary (miscellaneous),11
Physiology,11
Nuclear Energy and Engineering,11
Cellular and Molecular Neuroscience,11
Surfaces and Interfaces,11
Structural Biology,11
Materials Science (miscellaneous),11
Plant Science,10
Toxicology,10
Health Policy,10
Geography,9
Sports Therapy and Rehabilitation,9
Management,9
Monitoring,9
Health Informatics,9
Policy and Law,9
Physical Therapy,9
Pathology and Forensic Medicine,9
Planning and Development,9
Hepatology,8
Agronomy and Crop Science,8
Fluid Flow and Transfer Processes,8
Colloid and Surface Chemistry,8
Automotive Engineering,8
Decision Sciences (miscellaneous),8
Clinical Psychology,8
Business,8
Urology,7
Theoretical Computer Science,7
Medicine (miscellaneous),7
Food Animals,7
Computational Mathematics,7
Histology,7
Management Science and Operations Research,7
Toxicology and Pharmaceutics (all),7
Internal Medicine,7
Biological Psychiatry,7
Insect Science,7
Anesthesiology and Pain Medicine,7
Nursing (all),6
Rehabilitation,6
Ophthalmology,6
Radiation,6
Acoustics and Ultrasonics,6
Cognitive Neuroscience,6
Computer Graphics and Computer-Aided Design,6
Oceanography,6
Communication,6
Biochemistry (medical),5
Behavioral Neuroscience,5
Small Animals,5
Equine,5
Transplantation,5
Pulmonary and Respiratory Medicine,5
Management and Accounting (all),5
Media Technology,5
Astronomy and Astrophysics,5
Mathematics (all),5
Architecture,5
Computational Theory and Mathematics,5
Neuroscience (all),5
Transportation,5
Language and Linguistics,4
Pharmacy,4
Space and Planetary Science,4
Experimental and Cognitive Psychology,4
Computer Science (miscellaneous),4
Forestry,4
Geology,4
Linguistics and Language,4
Geriatrics and Gerontology,4
Rheumatology,4
Sensory Systems,4
Soil Science,4
Aerospace Engineering,4
Management Information Systems,3
Agricultural and Biological Sciences (all),3
Management and Accounting (miscellaneous),3
Neuropsychology and Physiological Psychology,3
Periodontics,3
Multidisciplinary,3
Economics and Econometrics,3
Public Administration,3
Orthodontics,3
Toxicology and Pharmaceutics (miscellaneous),3
Critical Care and Intensive Care Medicine,3
Social Psychology,3
Neuroscience (miscellaneous),3
Computational Mechanics,3
Management of Technology and Innovation,3
Psychology (all),3
Econometrics and Finance (miscellaneous),2
Numerical Analysis,2
Endocrine and Autonomic Systems,2
Statistics and Probability,2
Safety Research,2
Logic,2
Economics,2
Horticulture,2
Fundamentals and Skills,2
Nursing (miscellaneous),2
Genetics and Molecular Biology (miscellaneous),2
Aging,2
Atmospheric Science,2
Social Sciences (miscellaneous),2
Mathematical Physics,2
Complementary and Manual Therapy,2
Earth and Planetary Sciences (miscellaneous),2
Ecological Modeling,2
Radiological and Ultrasound Technology,2
Dentistry (miscellaneous),2
Developmental Neuroscience,2
Chemical Health and Safety,2
Developmental and Educational Psychology,2
Nuclear and High Energy Physics,2
Global and Planetary Change,2
Development,1
Environmental Science (miscellaneous),1
Health Information Management,1
Urban Studies,1
Industrial Relations,1
Maternity and Midwifery,1
Reproductive Medicine,1
Arts and Humanities (miscellaneous),1
Cultural Studies,1
Geochemistry and Petrology,1
Nature and Landscape Conservation,1
Visual Arts and Performing Arts,1
Statistics,1
Anatomy,1
Developmental Biology,1
Geometry and Topology,1
Algebra and Number Theory,1
Agricultural and Biological Sciences (miscellaneous),1
Genetics (clinical),1
Assessment and Diagnosis,1
Advanced and Specialized Nursing,1
Ocean Engineering,1
Health (social science),1
Sociology and Political Science,1
Earth-Surface Processes,1
Probability and Uncertainty,1
Geophysics,1
Discrete Mathematics and Combinatorics,1
Dental Hygiene,1
Earth and Planetary Sciences (all),1
Decision Sciences (all),1
