Category,Count
Agricultural and Biological Sciences,108
Biological Sciences,258
Business,12
Engineering,391
Environmental,156
Mathematics,59
Medical,664
Other,116
Physics and Chemistry,357
Social Sciences,43
Technology and Computer Science,176
arts,12
coastal and ocean engineeringneering,6
decision sciences,23
earth sciences,32
energy,117
engineering,277
fluidex; related topics,467
gastroenterology,5
geobase; related topics,58
heat exchange,9
mixing and separation,86
mycology,21
parasitology and virology,21
